n#03277459	balanza_electrónica
n#01701205	staurikosaurus
n#06341862	señor
n#00134099	nocaut
n#80000958	función_resumen
n#00788007	cosa_de_bobos
n#08019281	Ejército_Republicano_Irlandés_de_la_Continuidad
a#01117477	falso
n#07134706	intercambio
n#09498186	Euríale
n#02269196	insecto_tricóptero tricóptero
n#00253070	purgación purificación
a#01234167	inclinado
n#03793850	botón_del_ratón
n#06217806	extremismo
n#00364787	subida
v#01195804	derrochar dilapidar disipar malgastar prodigar
n#06779096	chiste_cochino chiste_verde
n#13091057	tubo
n#00123652	control_de_fuego
n#06602935	connotación sentido
n#02439568	mano pie
a#00276862	sombrío
n#06501311	programa
n#04752034	cambio mejora variedad
n#04505036	máquina_de_escribir
n#00268824	gentrificación
n#04023249	perforadora punzón
v#01448778	tirar
n#11227400	Anna_Pavlova Pavlova
v#01619929	destrozar destruir
v#01626705	hacer_una_antología
a#00424370	sucio
n#14697839	brecha
n#13374281	crédito
n#01497738	rhinobatidae
n#10845926	Benton Thomas_Hart_Benton
a#00562308	apropiado
n#05922450	tono
n#01244341	marcha_sindical
v#01202651	apurar
v#01348174	cerrar
v#02095390	acostarse_con_cualquiera ser_promiscuo
n#07945657	muerto
n#04411142	carta_del_diez diez
n#06203956	antisemitismo
n#11314315	Joseph_Lincoln_Steffens Lincoln_Steffens Steffens
v#02012344	transferir transportar trasladar
n#03776997	boceto
n#04867440	realidad verdad
n#15271417	lapso
a#01674604	indiferente regular
n#08571459	meta
a#02363614	resistente
n#09116876	Nueva_Ámsterdam
v#01615457	retirar
n#06369829	historia relato
n#08494133	ambiente atmósfera
a#01149195	dorado
n#14483917	ocasión oportunidad
n#05808218	hallazgo
n#09877951	camarada colega compañera compañero hermana hermano socio
a#02874700	del_corión
n#13011856	entolomatáceas familia_entolomatáceas
n#01137987	reorganización
n#10156173	quisquilloso
v#00661213	contrastar
n#05817396	evidencia hecho prueba
a#02055460	divino
n#13152742	follaje hoja
v#02487901	detenerse
n#01590837	Sitta género_Sitta
a#00579622	gran grande importante
r#00026416	de_algún_modo
a#02997227	frénico
a#00625170	insignificante
a#00411009	cristiano
n#00551407	programa
n#04733640	inestabilidad
n#04687633	canto_de_sirena
n#08388871	caballería orden_de_caballería
v#01945183	andar_en_tranvía
n#03314028	figura
n#03188725	diaper lienzo_adamascado
n#11409538	intercambio
n#00339776	inversión
n#14983491	mineral_de_hierro
v#01277173	indentar
n#01969550	Octopoda orden_Octopoda
n#01829869	upupa_epops
n#07851554	mascarpone
a#02689889	cervino cervuno
n#02122878	gata reina
v#00485435	coronar rematar
v#01975121	elevar_en_plataforma
a#02794123	secretarial
n#04444345	punta
n#04909018	cabezonería empecinamiento obstinación terquedad tozudez
n#05464378	fibra_medulada fibra_mielinada
n#07660590	turnedós
n#09052835	Carolina Carolinas
n#04948722	grosor rugosidad tosquedad
n#09945905	acompañante compañera compañero
n#09990777	maestro_de_baile maestro_de_danza
n#06902696	c
n#10146416	Boinas_Verdes
n#12822115	myosotis
n#13191620	culcita_dubia falso_helecho
a#00792641	supremo
a#01214430	agudo penetrante
n#06733119	protesta
n#14352801	falangitis
n#01784675	chilopoda
a#01182414	ligero
a#00109261	anádromo
a#02965415	paradigmático
a#01978003	descuidado despreocupado olvidadizo torpe
v#02267851	gastar_menos
n#06626286	línea
a#00862526	abstracto
a#00125170	terrestre
n#08361612	diarquía
a#00348198	variable
n#12685431	geranium
n#00716945	lubricación
a#02881995	laríngeo
a#00693020	profundo
n#07705557	arroz_inflado
n#09290777	grano
n#12719277	familia_nasturtium familia_tropaeoláceas tropaeoláceas
n#11365857	Reina_Victoria Victoria reina_Victoria
n#07843775	producto_lácteo
a#02992241	simiesco
n#04239218	asiento_deslizante
n#10375214	viejo
v#00294245	florecer
n#09575033	Crío
v#02759614	encender
v#00413195	adoptar
n#06758135	embuste patraña
n#08765890	Reino_de_Suecia Suecia Sverige
n#80000917	codificador
v#02206462	encontrarse
n#10419630	plaga
n#03423719	junta_de_estanqueidad
n#03793186	base soporte
n#01290840	Filipos batalla_de_Filipos
a#03032009	de_Gandhi
n#07324917	aumento subida
n#08056471	gigante
n#10588965	pastor
n#05623628	alcance campo_de_acción comprensión entendimiento límites ámbito
n#10877584	John_Cabot
n#11262468	James_Whitcomb_Riley Riley
n#05888929	hipótesis posibilidad teoría
n#12601494	fagopyrum_esculentum
n#02455135	Tolypeutes_Tricinctus apar apara
v#00424224	irrumpir
v#02569790	afectar traspasar traspasar_los_límites
n#12111744	bromus_japonicus pasto_japonés
n#14735642	ECA
a#01859801	interno privado secreto
n#14739271	azadiractina
n#14672373	coltan
a#00306314	capaz
n#00037396	acción acto hecho
n#11882426	lathraea
n#01368216	Escherichia
n#11386692	Thornton_Niven_Wilder Thornton_Wilder Wilder
n#04650913	fanfarronada
n#01375460	Actinomycetaceae familia_Actinomycetaceae
n#03547397	howdah
n#14735953	coagulasa
v#00586073	cutinizar
n#05946687	credo fe religión
n#03479397	residencia_universitaria
n#11091184	Ben_Jonson
a#02046199	oblongo oval
n#01827658	Alcedo género_Alcedo
v#00100044	entrenar
n#09932892	co-autor
n#14075358	hipogonadismo
r#00259775	en_escena
a#00840212	económico
n#06635509	material
n#08181658	burguesía clase_media
n#11105054	King Martin_Luther_King Martin_Luther_King_jr
n#15244650	instante momento
v#01379804	volver_a_destacar
n#11782036	alocasia
n#03343354	flauta_dulce
n#00552312	juegos_de_manos prestidigitación
n#10974136	Jane_Fonda
n#03542333	hotel
n#08223581	admirador fan fanático
v#02530167	buscar ensayar intentar pretender tratar
n#02992795	celo
v#02642238	aplazar
n#04837232	agresividad
n#07887461	bock
n#11164163	Mata_Hari
n#07499930	buena_voluntad
n#07916773	posset
a#01170243	sano
n#09203827	archipiélago
n#10097477	desastre
n#11200090	John_Napier
n#00805034	normativa regulación
n#11918286	ageratum
v#01619014	hacer
n#04990220	fuerza intensidad volumen
v#02359061	exigir_pago pedir
n#11077195	Glenda_Jackson
n#14113228	nefropatía
n#13333047	líquido
n#06293460	préstamo préstamo_lingüístico
n#06712625	ataque
n#09930876	payaso
n#11069261	James_Hutton
n#03098959	torre_de_control
n#11245590	John_Cowper_Powys
a#02845158	de_cuervo
n#13277056	gastos_de_mudanza
n#00333203	aducción
a#02839695	profesional
n#14835004	yodotirosina
n#00293417	recorrido
n#01800286	Ortalis género_Ortalis
n#01949195	Fissurellidae familia_Fissurellidae fisurélidos
v#00042173	empolvarse
n#11185500	Thelonious_Monk
v#00995525	latinizar romanizar
n#07431369	desvanecimiento
n#01011166	lista relación
n#04909721	bufonería diablura travesura
n#05122557	mayoría
n#07668702	cerdo
n#05365059	vena_cística
n#00023100	rasgo_psicológico
a#00134701	apropiado
n#09181993	alcoholismo
v#02358922	corresponder tocar
n#10858164	Max_Born
n#01222859	bigardía burla dicterio vituperio
n#02893692	panera
n#04581595	burdel
n#04512092	universidad_de_MIchigan universidad_de_Michigan
n#06715927	desdén
n#06833890	Z
n#09524027	Aditi
n#09797742	antisemita perseguidor_de_judíos
n#11377712	John_Wayne
n#02483092	simios_menores
n#10183757	agasajado distinguido galardonado homenajeado
a#00607656	conservador
v#00067999	desprender
n#02936402	caftán
v#02006453	llegar_conduciendo
n#00230324	aborto aborto_inducido
v#01259328	cincelar
n#00306900	etapa fase
n#13986679	satisfacción
n#05516848	bolsa bolsillo
n#10548681	comerciante vendedor
n#07738353	corteza piel
n#03538037	caballo
v#02228031	abandonar
v#01225461	pedalear
v#02767922	echar_humo emitir_humo humear
n#03042829	remache
n#01394366	género_Arcella
a#01176246	enfermo patológico
v#01338878	incrustar incrustar_con_mosaicos
n#04313628	estela
n#10946481	Eleonora_Duse
n#11181937	Arthur_Mitchell
n#11339534	Seth_Thomas Thomas
n#10132887	autor_de_glosarios
r#00465873	estatutariamente
n#06973941	avestán zend
n#11850748	género_pediocactus pediocactus
n#13524925	operación
n#04194289	bajel barco buque embarcación nave
n#10837567	Bernard_Baruch
n#11264828	Oscar_Robertson
n#06683784	reportaje
v#00733044	resolver solucionar
n#15019645	sarcosina
n#01096245	negocio
n#04579056	botella_de_güisqui botella_de_whiskey botella_de_whisky
n#07818133	trigonella_foenum-graecum
n#13874558	crenación
a#02956752	cromosómico
n#02955540	caparazón
n#02390640	Equus_Asinus asno_salvaje_africano
n#03938037	picota
a#03044869	aritmético
n#00419315	blaxploitation
n#04117464	timón
n#03449309	gubia
v#01697986	acuñar
n#08232706	Ivy_League
v#02124332	heder oler
v#00814621	disertar
n#01689081	Moloch_horridus diablo_espinoso lagarto_espinoso
n#02853449	bloque bloqueo cierre detención obstrucción oclusión parada
n#04244997	barca bote
n#09365288	Nanga_Parbat
n#12087807	dioscorea género_dioscorea
v#00721437	averigüar descubrir
v#00812149	eludir huir rehuir
n#06764244	leyenda nota
n#15182319	Año_Nuevo
v#02019574	traspasar
n#06759349	apariencia disimulo fingimiento pretensión
a#02349477	subyacente
n#04677952	apariencia color matiz semblanza
n#02141611	murciélago_ratonero
n#08076833	caballero_blanco
r#00489281	poco_escrupulosamente
n#13773250	trago
n#01905543	celenteron
n#05160399	conveniencia
n#07555184	afán ansia
n#10167838	compensador_de_compromisos
n#02306672	Lasiocampa género_Lasiocampa
n#07972279	gens
v#01029368	llamarse
n#07210225	protesta reclamo
n#12124505	género_lolium lolium
a#00274068	negro
a#02179968	cordial sincero
v#01783214	espantar fantasma merodear obsesionar rondar
n#03801880	banqueta banquillo
n#13832841	sudeste
n#02959942	automotor coche vagón
v#01728355	acompañar
n#04979425	valor
n#09781804	alcalde
n#06659397	glasnost
a#00211564	liso
v#02165304	divisar
n#04300281	álbum_de_sellos
n#08174398	O.T.A.N. OTAN Organización_del_Tratado_del_Atlántico_Norte
n#09799461	defensor
n#02790996	barra
v#02441022	controlar mandar
v#00806314	apoyar respaldar suscribir
n#11135488	Livermore Mary_Ashton_Rice_Livermore
n#07222050	leyenda rondalla
a#02359958	brusco repentino súbito
n#04887912	orgullo pretensión suficiencia
v#01853310	bombear
n#06759256	estafa fraude
n#04002452	primaquina primaquine
n#09973072	corredor_de_rodeo cowboy vaquero
n#10872624	John_Burgoyne
n#06266633	Fleet_Street
n#09452653	cinturón ringlera
a#02621246	anaplásico
a#02725452	facultativo
n#10827873	Clement_Attlee
n#06522357	contrato_bilateral
n#01941670	Gasteropoda Gastropoda clase_Gasteropoda clase_Gastropoda
a#01579467	supremo
n#07318133	caída decadencia descenso ruina
n#07095516	anfíbraco
v#02022659	perder
a#00197891	posterior trasero
n#02486138	Erythrocebus género_Erythrocebus
a#02290714	cuantitativo
n#09618957	cara
n#01842942	Galbulidae
n#00784271	fraude
n#09684082	mahayanista
n#02339376	campañol
n#09731906	español
n#10908313	James_Cook
v#00776268	convencer
r#00270011	en_un_bajío en_un_banco
n#08491027	dirección
n#10707804	ladrón
n#12155459	género_typha totoras typha
n#15149472	años_1940
n#02291024	Tineoidea superfamilia_Tineoidea
n#80000877	tecla_Bloq_Mayús
n#14102347	trombosis_cerebral
n#00862079	heliotropismo
n#07466832	final
n#05231397	asterión
v#01690816	redactar
n#00431552	afición distracción
n#01956764	concha
n#06720216	calumnia envilecimiento vilipendio
a#01878358	impronunciable
n#03079494	quemador_de_CD
n#02723754	antigüedad
n#05790242	elección selección
n#01851207	Aythya_Americana
n#08209386	Unidad_Sparrow
v#00548750	asesinar mutilar
n#10669486	presentador
a#03014030	neo-lamarckiano
n#10415638	intérprete
a#02676046	calicular
a#01074650	amistoso
v#01894649	bailar danzar
n#01438208	pez_cipriniforme
n#11054173	Jimmy_Hoffa
n#11228956	Penn William_Penn
n#00376400	ruptura
n#01321230	macho
n#07967982	raza
n#00062806	logro
v#01321509	desmochar pellizcar
n#04618581	identificación
n#10249950	abogado jurista letrado picapleitos
n#13771290	par
n#13973769	pancitopenia
n#07684289	naan
n#04404412	televisión
v#02014165	partir
n#13650447	yarda
n#13468306	destilación
a#02331088	rebelde
n#03147509	taza
n#10269458	huésped
v#01148296	cubrir
n#12827907	marah
v#02488834	casarse contraer_nupcias desposar enlazarse llevar_al_altar matrimoniarse
n#14813182	arcilla
a#02621348	anarquista
n#00105624	herradura_inclinada
n#10927104	John_Deere
n#06883383	hoja_de_arce
n#10861926	Brahe Tycho_Brahe
a#01504531	sin_explotar
v#01824958	placer
a#02957066	italiano
v#00076400	devolver
n#04668819	credibilidad fiabilidad integridad
a#02297409	inferior
v#02473890	votar
n#01227083	buena_acción favor
n#04339291	banda
n#05956651	doctrina_judicial principio_judicial principio_legal
n#03817062	Serzone nefazodona
a#01003536	listo
n#07914413	coctail_de_ron daiquiri daiquirí
n#09362469	boca
n#07877849	bistec_con_pimientos
v#02554922	estimular favorecer fomentar impulsar potenciar promover
a#00002098	incapaz
v#01928838	andar
n#06457612	padrenuestro
n#06882009	bandera_nacional insignia
v#01021420	concluir resolver
n#14152169	ablefaria
n#06591609	antología
v#02208265	comprar llevarse
n#11211696	Severo_Ochoa
n#80000774	dato_binario dato_lógico
n#13897657	altitud altura
n#10820444	Guillaume_Apollinaire
v#02565911	caer
a#00151855	mudo
v#00884814	jurar_renunciar_a
n#10889905	William_Chambers
n#05794057	clave
n#10601644	sirdar
v#02540670	asistir atender cuidar servir
n#08363812	monarquía
n#03721590	puerto_deportivo
n#11107635	Gustav_Klimt
a#02840328	del_clítoris
a#01321529	censurable criticable incriminable recriminable reprensible reprochable
n#04803880	precisión rigor
n#07794605	trucha_arcoiris
n#14044852	miastenia
n#13976182	estruendo
n#00061290	despacho expedición
n#02821030	ropa_de_cama
n#01106587	transbordador transbordo
n#00738270	pedofilia
n#04939198	blandura pastosidad
n#03736372	fresquera
n#03111296	cenefa
n#07758680	uva
n#04080705	balneario complejo_hotelero
n#03178782	adorno diseño figura patrón
n#00182213	voto
n#02590094	Orthopristis_chrysopterus corocoro_burro vieja
v#02162434	aturdir deslumbrar
n#14619225	átomo
n#10838484	Charles_Baudelaire
n#13854488	norma
a#02927303	americano
a#00349894	final último
n#03892891	parte porción
n#09866222	corredor_de_apuestas
a#00959244	constante fiel firme
n#02583768	Hemigrammus género_Hemigrammus
v#02212507	robar
n#10809675	Cneo_Julio_Agrícola
n#02898711	puente
n#09738400	americano
n#08642517	proximidad
n#09116318	Santa_Fe
n#11218054	Wilhelm_Ostwald
n#01986681	Crangon género_Crangon
a#02236271	no_resbaladizo no_resbaloso
n#10903570	Cochise
n#06767035	idea pensamiento razonamiento reflexión
n#13586122	coeficiente
v#01690294	dibujar
n#14845743	H2O agua
n#07052619	letra_romántica
a#01660994	oportuno
n#01463115	blastoporo
n#13534098	peptización
n#08399977	mezcla
a#00798491	borracho
n#03776050	fosa foso
n#00412130	multiplicidad
r#00436848	cada_trimestre trimestral trimestralmente
n#10723873	transcendentalista
a#01143279	repentino
n#09942970	oficial oficial_comisionado
n#01119850	mercadillo_benéfico
v#01243982	cepillar
n#04967191	verde
n#00463246	juego_atlético juego_deportivo
n#07716649	zapallo_italiano
n#13947174	empate
n#00165298	ordenación
n#02939565	calandrado
n#15212739	septiembre
n#11090378	John_Paul_Jones
n#07909954	curaçao
a#02721220	ecuestre
n#04336645	recta tramo
n#08163792	asamblea junta
n#07418822	apuro límite punto_álgido
n#00398585	septación
n#01825417	Coraciiformes orden_Coraciiformes
v#02584097	abandonar dejar
n#10944468	Raoul_Dufy
a#02626379	del_Medio_Oriente
n#08566707	cara lado
n#11043836	Jim_Henson
v#01277784	arrugar estriar surcar
n#11248599	Henry_Purcell
a#02511528	brutal furioso salvaje violento
n#06359467	chat
n#08550966	diócesi diócesis episcopado obispado
n#03533972	aro
n#10013242	comensal
n#10868177	Breughel Breughel_el_Viejo Bruegel Brueghel Pieter_Breughel Pieter_Bruegel Pieter_Brueghel Pieter_Brueghel_el_Viejo
n#11270380	Eleanor_Roosevelt
n#11273104	Peter_Paul_Rubens
v#02536557	influir
n#11542137	sphagnum
n#11740655	myricales
n#13833375	sur
n#14271667	lisa rabia
n#06988057	árabe
n#14940750	nitrógeno_líquido
n#15117516	horas
a#02177584	complejo complicado enrevesado intrincado
n#00742474	perversión
a#01547721	no_monótono
v#02667228	chocar luchar
n#01823912	Geococcyx género_Geococcyx
n#01325417	cuerno
n#02754103	pulverizador
n#06855985	sello
n#11312556	Leland_Stanford Stanford
v#01958615	andar_a_caballo
v#02009200	permanecer quedarse
v#01526139	marchar
n#01703011	paquicefalosaurio
n#09294413	Green_Mountains
n#13344386	bienestar_económico
v#00891936	asegurar garantizar
n#03294604	EPROM
n#09186359	abismo
n#12998815	agarico agárico
v#00145147	redondear
n#13099586	agalla
n#14085474	acinesia estupor rigidez
a#02799595	somatosensorial
n#00972621	asalto ataque
n#05822507	muestra_aleatoria
v#01674544	entrelazar
r#00477814	delgadamente diluído
n#11130940	Meriwether_Lewis
n#01946118	Neritidae familia_Neritidae
n#10416364	belleza
n#00543233	música
n#09551260	hamadríade
n#07922147	perada
n#05378022	vena_pilórica vena_prepilórica
n#14829264	andradita
n#07115493	alveolar consonante_alveolar consonante_dental dental
a#02368787	ácido
n#07130918	error_de_pronunciación mala_pronunciación pronunciación_incorrecta
n#09538633	demiurgo
a#03034283	de_Leibniz
n#02404432	Longhorn Longhorn_de_Texas cuernilargo cuernos_largos
n#02190166	mosca
n#02642430	Scorpaenidae familia_Scorpaenidae
n#05169412	trascendencia
n#02486787	Mandrillus género_Mandrillus
v#02068413	brotar escupir manar_a_borbotones salir_a_chorro salir_a_chorros
v#02297409	ofrecer
n#01819115	cacatuidae
n#04828925	bondad humanidad
n#05268619	parénquima
n#04349077	estación_de_metro
n#10207077	polímata
v#01770252	fascinar
a#00647542	crítico
v#02653706	pertenecer
a#00174379	inaudible
n#01595624	avión
r#00068577	en_compañía
n#01800633	Ortilis_vetula_macalli Texas_Chachalaca
n#10866883	Elizabeth_Barrett_Browning
n#10498816	quarterback
n#03448590	gola
n#09304750	hueco
a#00540977	disperso
n#09243405	Bahía_de_Chesapeake
n#05047778	exactitud puntualidad
n#01036996	boda
n#04749991	margen
n#03783873	monoplano
a#00038462	latente
n#05157574	beneficio ganancia provecho
n#06585816	virus virus_informático
n#07223170	murmuración
n#15123115	día
n#01979526	Ovalipes_ocellatus cangrejo_lady
n#01975687	crustáceos_malacostracos
v#00098770	levantarse resucitar
n#02295390	gusano_cortador
n#14573303	varicocele
n#01089635	caridad
a#00728431	autónomo separado
a#01909718	impoluto no_contaminado
n#02040698	Lari suborden_Lari
a#01225898	falso
v#00718907	acoger recibir
n#00838098	consumo ingestión
n#11049835	David_Hilbert
n#06193203	actitud disposición postura
n#80000943	identificador_de_usuarios
a#00443274	alejado distante lejano remoto
a#01632537	oficial
n#07606933	caramelo_de_melaza
n#10698368	periodista_de_televisión reportero_de_televisión
n#02790550	púa
a#01259391	débil frágil
n#00157081	influencia
v#00314272	enfocar
n#10821699	Hannah_Arendt
v#00877327	estudiar investigar
r#00026061	aquí_y_allá
a#00106821	escaso insuficiente
v#01607716	cercar
v#00172732	desproveer empobrecer privar
n#13963032	defunción extinción
n#08640392	arsenal
n#07116758	aspirada
v#02761897	apagar extinguir
v#01777107	aficionarse
n#14004149	inestabilidad
n#01613177	Polyborus_plancus carancho
n#00076563	paso_en_falso traspié tropiezo
n#09794668	animista
n#09831731	manzana_podrida
a#02346557	común ordinario vulgar
n#10846089	Alban_Berg
n#07128946	pronunciación
n#08855126	Belo_Horizonte
a#02435901	amargo crudo
n#11398094	Herman_Wouk
n#14682133	molécula
n#07944618	sangre
v#01194661	festejar
v#02431971	administrar
n#12048399	caladenia
n#08409617	instituto
v#02576921	adulterar desfigurar falsear falsificar fingir hacer_trampa manipular
n#02450426	martes_zibellina
n#09786115	alto contralto
n#06188889	hinayanismo
n#01774918	Lycosidae familia_Lycosidae
n#01257033	sentar_tendencia
a#02787073	racionalista
v#01396091	bañar_en_oro dorar
v#00619869	confundir entender_mal equivocar juzgar_mal malentender malinterpretar
n#09584559	Völund Wayland
n#13670668	dinar
n#04431648	protector_de_pulgar
n#10228712	kachina
v#01271936	revestir
n#03313873	cara
n#07876189	chucrut
a#02799016	solar
v#02666882	contrastar
v#01144550	cazar_con_hurones
n#06575681	GUI
n#10293172	buitre
a#02861483	palatino
n#09826204	aeronauta aviador piloto piloto_de_aviación
v#01177118	hospedar
v#02495038	confinar detener encarcelar
n#11372242	Fats_Waller Thomas_Wright_Waller Waller
n#10866090	Brooks brooks van_wyck_brooks
n#06008148	triangulación
n#06102865	holismo
r#00310290	devotamente
n#14248669	mixoma
n#03776291	móvil
r#00248765	en_particular particularmente peculiarmente
n#02105251	pastor_de_brie
n#03115663	algodonera
v#01896213	bailar_foxtrot
n#03206282	disco discoteca
n#02493224	cacajao
v#01418959	reorganizar
n#11365100	Amerigo_Vespucci
n#10986437	Clark_Gable
n#02259565	Membracidae familia_Membracidae
n#03028907	Churchill_Downs
v#01524298	apretar
a#01925158	no_aleatorio
n#04776572	inercia
n#10038226	dualista
n#03637318	pantalla
n#04051825	muralla
n#14180213	infección_respiratoria_superior
v#00004492	contener retener
v#01158872	emplear usar utilizar
n#05987650	ultramontanismo
n#02273254	Forficula género_Forficula
v#01817130	desagradar disgustar ofender
n#08947180	Saint_George
n#13313322	impuesto_por_sucesión
n#01341090	rotavirus
n#03201996	palangana
n#06376776	poema_en_prosa
n#09109771	Grand_Island
n#09215664	bahía
v#01452255	acarrear cargar llevar transportar
n#10259016	cantante_de_lieder
n#13760316	pedazo pizca trozo
a#03041636	ablativo
n#01924309	Sagitta
n#00974762	carga
n#01010684	alternancia
n#12862512	plectranthus
a#01771839	denso espeso
v#00839834	exagerar
v#00408624	formar preparar
n#13510829	malabsorción
r#00359932	cien_veces por_cien
n#00610592	literatura
v#02758977	nevar
n#07579399	bolo mascada masticable taco tapón
v#02420789	trabajar_esporádicamente
v#00470084	anular
n#10033082	asistente_de_camerino
v#02133435	parecer
n#07676520	chorizo
n#05405139	lágrima
n#00094500	indulgencia
n#02153445	pata pie
a#01130932	blanco
n#07198276	examen_final final finales reválida
n#05128519	superficie área
n#15101854	tabla tablero
n#00632201	práctica_médica
v#01926031	mochilear
n#03773268	escena
n#10945825	Jimmy_Durante
n#11366658	Henry_Villard Villard
n#10810671	Alvin_Ailey
n#12090890	primavera prímula
a#00510644	eficaz eficiente
n#04060647	receptor
v#01826498	preferir
n#02072209	Monodontidae familia_Monodontidae
n#04843270	don
v#02359839	apalancar
n#05855004	cosa
n#01038761	confirmación
r#00512992	cognitivamente
n#02367492	chinchilla
n#06665108	protocolo protocolo_de_comunicación
n#06703114	Doctor_en_divinidades doctor_en_divinidades doctor_en_teología
n#02122430	cazador_de_ratones
a#02847786	floral
a#02719395	básico elemental
n#11335330	Aldred_Tennyson Alfred_Lord_Tennyson Alfred_Tennyson Baron_Tennyson Tennyson
v#01472642	expropiar quitar
v#02044278	circular girar
v#00407848	armar montar
v#01283893	amortajar
n#05927813	esquema
n#03214051	disulfiram
n#07398276	bocinazo toque_de_bocina
v#02594674	corresponder cumplir lidiar_con satisfacer
a#00656132	alarmante crítico decisivo fundamental
a#00817424	temprano
n#05696020	combinación juego
a#02000968	exagerado excesivo
n#10200781	personaje
v#01399305	abatanar batanar enfurtir
n#10991936	Bill_Gates
n#11384566	Alfred_North_Whitehead
n#13598237	frecuencia
n#00236581	ascenso
n#12433429	chalota escalonia
n#13706993	unidad_monetaria_tanzana
n#10332385	madre
n#11324619	Ed_Sullivan Edward_Vincent_Sullivan Sullivan
n#15204983	decada decenio década
n#15244094	alfa_y_omega
a#02100968	inferior
n#04474466	trampa
n#04664628	diligencia viveza
n#07493682	algofilia algolagnia
n#14996395	porfirio roca_porfírica
n#07448717	baile
n#14403282	alteración trastorno
a#00037457	activo
n#10103794	Ministro_del_Exterior Secretario_de_Estado
n#11241854	Cneo_Pompeyo_Magno
n#13799063	correferencia
n#11402463	W.B._Yeats William_Butler_Yeats Yeats
n#04198355	manga_de_camisa
n#01295373	Somme batalla_del_Somme río_Somme
a#01493173	maduro
n#03911513	cárcel penitenciaría
a#01524562	marítimo
n#06833663	X
n#00870453	combinación
v#01293644	cerrar_con_pestillo
n#04472726	emisor
n#03176970	puerta_de_embarque
n#06637350	inicialización
n#08049401	asociación
n#09971595	Coureur_de_bois
a#02344512	espléndido estupendo magnífico
n#13138155	acino_glandular
n#03218545	chisme
n#02455310	género_Cabassous
a#00154583	culpable
v#01475301	sacar
n#10576071	espectador vidente
n#15075867	toner
n#14507050	mioglobinuria
n#03788498	motel
v#00586157	convertir_en_dúplex
n#07557434	plato
n#11170248	Margaret_Mead
n#06244852	chamanismo
n#06295235	plural
n#11338796	Santo_Tomás
n#02009508	Egretta_Garzetta garceta_común
n#05171045	esencia
n#12022382	chrysanthemum_cinerariaefolium
n#05129201	longitud
n#08738531	San_Salvador
a#01539444	modesto
v#02711835	enmarcar
n#07832099	salsa_de_ciruela
n#03118539	balance contrapeso ecualizador
n#10264437	científico_lingüista lingüista
v#02449340	excluir privar
n#06777164	ironía sátira
a#02213270	escrito
a#00073048	artificial
n#06737112	apuesta oferta
n#11203920	Pier_Luigi_Nervi
n#11378254	Ernst_Heinrich_Weber
a#01208044	elevado
n#14567421	uretritis
v#01954852	transportar_en_chalana
n#12722382	guaiacum
n#14326190	dismenorrea
n#01729977	culebra_de_collar serpiente_verde
n#10757050	lector
v#00362348	abandonar discontinuar parar romper suspender
n#11352498	Alan_Turing
n#05624461	don
n#08429744	fútbol_americano
n#03956922	factoría fábrica planta
n#12289585	avellana_picuda corylus_cornuta
n#14287741	picada_de_abeja picadura_de_abeja
n#05084982	distancia_media
n#07230796	acrofonía
n#07636534	macaroon
v#01583344	inscribir
n#05831939	plaga
n#13579679	baud baudio
n#00237869	creación
n#06825120	tipo
n#14540765	peligro
