n#01460813	oviscapte ovopositor
n#02409038	anoa_de_plana
n#11477384	camp_magnètic
n#11503644	resistència
n#13984944	ombra
n#08953324	Islàndia
n#07141437	parlament
n#01036333	comunió
n#01482754	hexànquids
a#02301180	desnutrit subalimentat
v#01397210	picar copejar
n#05786655	introspecció
n#04701162	llustre
v#00495505	insonoritzar
n#03375956	transparència
n#11280405	Margaret_Sanger
n#13203708	genus_loxoma loxoma
v#00595505	desconèixer ignorar
n#02813752	bazooka llançagranades
n#15243730	eó
n#15150618	els_setanta
a#00797113	potable
n#06733227	postulació
v#01222016	aglutinar
a#01595596	anormal
n#13475072	epigènesi
v#01993668	travar
n#05871362	fundament principi_bàsic principi_fonamental
a#02785874	provincial
n#09388023	codol
n#14014849	hivernació
n#07986066	tríada trinca trinitat trio
a#02530282	climatitzat
n#11460488	front
a#00581401	discret invisible
n#08404735	estat_major_general
v#00492225	embrutar
n#10879551	Gai_Agripa
a#00651697	no_crític
n#03290195	entaulament
n#09169801	Desert_de_Gobi Gobi
n#14402922	quequeig tartamudeig
n#12155459	genus_typha typha
n#13387479	canvi
n#13871538	radi
n#05898035	l'Holandès_errant L'Holandès_Errant
a#02274089	estable
n#03375171	sirena_de_boira
n#07429976	intrusió invasió
n#80000950	tecla_de_funció
n#11374448	Andy_Warhol
a#02258600	esquerp esquiu insocial retret
v#00251064	evolucionar
n#11658872	genus_retrophyllum retrophyllum
n#06523842	contracte_de_compra contracte_de_compravenda
n#08944378	Rhône-Alps
n#10832568	Arthur_James_Balfour
v#01448100	arrossegar estirar tirar
v#00071646	martiritzar
a#01872619	incapaç ineficaç inepte inútil va
n#10251002	Llàtzer
n#09973624	timoner
v#01691057	escriure
n#14943580	fusta
n#12587803	cocoter
v#00064095	alleugerir alleujar apaivagar suavitzar
n#07187486	patrioterisme
n#06155567	història
n#04251983	ninot_de_neu
v#00597634	dominar
n#11055807	James_Hogg
n#06840047	símbol_matemàtic
n#08896327	sultanat
n#01074252	antagonisme
n#07452251	pompa
n#01774252	genus_latrodectus latrodectus
a#01394180	minúscul
n#08245549	màfia
v#00236104	restringir
n#00604131	senadoria
a#01584017	trastornat
n#11169418	William_McKinley
a#00988797	anorèxic
n#02142295	genus_macrotus
n#07019172	comèdia_musical musical
n#01228792	galanteria
n#15121302	antany
v#01569566	instal·lar
n#10211203	intern
n#04984514	dissonància
v#00054285	concebir
n#14661740	itri número_atòmic_39 Y
n#03790230	llanxa_motora
n#04689660	al·licient atractiu encant encís
v#00516932	vulcanitzar
n#13723577	quirat
n#09795894	antediluvià
n#01541618	genus_pyrrhuloxia
n#06510103	arxiu_de_disc
n#10079893	fatxa feixista
n#06710546	crítica
n#13484303	fragmentació
n#11907267	genus_platystemon platystemon
n#14346731	gastritis_crònica
n#07229530	autoadulació autobombo jactància
n#00385649	desconnexió disjunció
n#04726724	naturalesa natura
v#02674447	excel·lir sobresortir
n#00751145	falsedat falsificació
n#15088183	vinil
n#14452616	plaga infestació
n#04518764	bossa_de_viatge
n#01201906	cocooning
n#02616705	anarhichas genus_anarhichas
n#01965747	pectínids
n#08571642	tallafoc
n#10283824	dirigent_majoritari líder_majoritari
v#01470225	rebre convidar
n#11471578	calor_de_fusió
n#01787006	picnogònid
n#07922147	sidra_de_pera
v#01888511	estremir-se trémer tremolar trepidar
a#00240655	esteorofònic estèreo
n#05473928	sinapsi
n#14713487	efedrina
n#02267208	rafidiòpter
n#11449561	càrrega
n#08947319	Guinea_francesa Guinea
n#10038929	duelista
a#01995596	burlaner irònic irrisori
n#14999106	peptidasa proteasa
n#14811826	cromat
n#02415971	ammotragus genus_ammotragus
n#11226933	Linus_Pauling Linus_Carl_Pauling
a#00304455	arrissat encrespat ondós ondulat ondulós
v#00088532	intoxicar
v#00889555	comprometre's garantir
n#09426788	mar oceà
n#12537988	genus_laburnum laburnum
n#04666083	abandó abandonament deixadesa
n#80000947	fòrum fòrum_de_discussió
n#07630398	pastís_de_coc
n#05852973	banda costat part
n#10257647	llibertí
n#05268965	teixit_adipós
n#03323211	cleda corral
v#02349945	costejar sufragar
n#07101557	antonomàsia
n#11410298	cristal·lització
n#14011724	desuetud desús
n#06139135	psicologia_diferencial
n#05694232	àncora
n#01892876	genus_neomys neomys
v#01186428	alletar
v#01205331	engolir
n#13486270	gasificació
n#01501160	rajada
a#00423001	tacat
v#01653013	elaborar fabricar
n#00899927	figuració
a#01854129	auxiliar suplementari
n#07682477	magdalena
a#00523587	independent
n#08852209	Bhutan
n#07853560	formatge_de_cabra
a#00185607	vendible
n#02721948	antipalúdic
n#10906462	Arthur_Conan_Doyle
n#15150790	decada_del_1770
a#02889746	marí marítim nàutic
v#02151966	anar_amb_compte estar_alerta vigilar
n#11366109	Gore_Vidal
a#01539444	modest
v#00058897	donar_a_llum parir vedellar
n#02426481	raficer_comu
n#06997697	llengua_nilo-sahariana
n#01192150	veredicte
n#02871439	biblioteca llibreria
n#11126490	Lenin
a#03098252	peninsular
n#11224419	Blaise_Pascal Pascal
n#01927665	teníids
n#02995345	UCP unitat_central_de_processament
n#05761559	record
n#13270373	ofrena
n#10738787	trinitari
n#11024419	Asaph_Hall
n#10943256	John_Drew
n#06893565	interpretació
n#09993822	alumne_extern extern
n#05781541	conclusió
n#15196444	nit_de_Nadal
a#00344125	canviant variable
a#01269506	afamat famèlic famolenc
n#14800277	coenzim
n#03553248	bomba_d'hidrogen bomba_termonuclear
n#15091129	aneurina tiamina vitamina_B1
n#13156884	fulla_quinquefoliada
a#02336759	esgotat exhaurit
n#05798315	recerca_empírica
n#10186068	tractant_en_cavalls
n#14787520	greix_animal sagí saïm
n#01883212	dasiúrids
n#10439629	platonista
n#11057381	Homer
n#11822167	genus_tetragonia tetragonia
a#01824081	impossible inabastable inassolible
n#08466175	cubisme
n#14125159	blastomicosi sacaromicosi
a#00241672	bípede
n#09292545	Serralades_Australianes
n#14085708	encefalopatia
n#08441203	jurisprudència llei
n#12005500	genus_pulicaria pulicaria
n#02608151	achoerodus genus_achoerodus
n#02723595	antipirètic febrífug
a#02335828	suficient
n#02454999	genus_tolypeutes tolypeutes
n#13293377	dieta
n#14302460	aura
n#12346448	genus_daphne
n#10339350	forçut gall goril·la perdonavides
n#05278714	pubis
a#02981648	congresional
n#06552984	disposició manament mandat ordre prescrit requisitòria
n#10974136	Jane_Fonda
a#01176246	malalt mòrbid morbós patològic
n#06272290	telefonia telèfon
n#00463543	hoquei
n#02743426	arsenal
a#00022219	fidedigne fidel
n#04358707	supermercat
n#05139561	demèrit desmèrit
v#01601234	portar
n#00445351	rem
a#02840935	umbilical
n#13453640	corrupció
n#10503247	estafador
n#06302083	polisíl·lab
n#07528097	triomf
n#09891470	canoer piragüista
a#01624115	desocupat lliure
n#00908772	recreació
n#15067877	gas_lacrimògen
n#01624115	duc_petit xot
a#00134701	apropiat
n#08074225	indústria_del_calçat
n#15097578	xerigot
n#02957586	càpsula
n#01362999	genus_thiobacillus
n#01131330	imperatiu
n#11259457	David_Ricardo
n#12874429	pedaliàcies
n#09401834	quark
n#11750989	almegó melilot
v#00293528	engalanar
n#13398469	pagaré
n#05646535	deficiència_mental subnormalitat
n#01495701	ràid
v#02088241	canviar fer_transbord
n#13613985	hectàrea
n#00189565	carrera
a#02052603	ciutadà
n#04347754	submarí
n#12801323	genus_parnassia
n#13962166	aguant resistència
n#08967329	Illes_Maurici
n#07570237	gluten
n#04271371	punta_de_llança
n#02023133	caràdrids
n#05979350	embruix sortilegi
n#01602630	vireònid
n#07905386	rom_Jamaica
a#01732270	futur
n#05586446	endosquelet neurosquelet
v#01849221	acostar-se apropar-se arribar venir
n#12691028	elemí
n#15241186	època_de_caça
n#13726296	caloria
n#00327824	vaivé
n#12619306	rosàcies
n#06223468	ateisme
n#06327136	pronom_personal
n#12155583	balca_de_fulla_estreta balca boga_de_fulla_estreta boga
n#11005320	Carlo_Goldoni
a#00053032	adherent
a#01456221	murmuriós
v#02195191	emmalaltir-se emmalaltir posar-se_malalt tenir_nàusees
n#08689873	zona_perillosa
n#11779801	genus_arum
n#15021189	bloc_d'esborranys
n#14826173	paper_crepat
n#09910222	auriga
n#02390640	ase_africà
n#08222750	teleespectador televident
a#00576680	consistent
n#13991346	criminalitat
v#01794523	turmentar-se turmentar
v#01803641	amoïnar burlar fastidiar fastiguejar molestar
n#09779623	agricultor
v#00218475	assecar eixugar secar
a#00606347	escrupulós estirat
n#11480698	fenomen_mecànic
n#00851994	control_de_natalitat planificació_familiar
v#00627824	fullejar
n#14515344	esfera_política
n#05008227	masculinitat
n#02488578	genus_colobus
a#01791138	venós
n#04240097	tirador
n#00320625	aguait
v#00641672	multiplicar-se multiplicar
n#03607756	calidoscopi
a#01365103	angoixat anguniós
n#01156899	armament equipament
n#01874126	marsupials
n#15192406	Quinquagèsima
n#07523485	indecisió
a#00353101	revisat
n#04810194	licitud
n#10753442	vilatà
n#08644722	àrea_rural camp zona_rural
n#07783827	pasta_d'anxoves
n#07803992	germen_de_blat
n#13140242	beina_de_pèsol tavella_de_pèsol
n#09755398	absolutista
v#01842068	volar
n#06257569	dors verso
v#00045639	atendre estrijolar raspallar
n#01931277	oxiuroïdeus
n#02051701	pelecànids
n#07860447	aixarop_d'auró xarop_d'auró
n#05554189	mama mamella teta
n#11039188	Lillian_Hellman
n#11596108	gimnosperm
n#14961722	paper_de_diari paper_de_premsa
n#10809223	Esop
n#05712076	experiència_sensorial impressió_sensorial sensació
n#11031420	William_Henry_Harrison
n#03704038	arsenal polvorí
n#14833729	depilatori
n#13697011	unitat_monetària_d'Oman
n#11117108	Lillie_Langtry
n#10988466	John_Galsworthy
n#07355491	decés defunció desaparició mort òbit traspàs traspassament
n#02235911	genus_mantis
n#04096066	carretera
v#01066433	enfrontar
n#05953881	antroposofia
n#14416668	confidencialitat
n#10173086	heroi
n#03047052	torre_del_rellotge
n#11549009	conidi
n#11644712	genus_thujopsis thujopsis
a#00142622	armat equipat
n#01988971	misidacis
n#00537423	tango
n#06578203	programa_reutilitzable
v#00660971	avaluar taxar valorar
n#07805731	pinso
n#01089483	filantropia filantropisme
n#01645634	bufònids
n#13154077	folíol
n#10780506	vidu viudo
v#01893079	fer_volar llançar llençar tirar
n#13246332	coses efectes
n#01514668	ocell_mascle
n#10589666	desballestador
n#11318171	Jimmy_Stewart
n#12077505	genus_phragmipedium phragmipedium
n#07525057	desassossec inquietud neguit
v#02425112	oferir-se
n#13515678	microevolució
n#11258501	Paul_Revere
n#05228496	quiasma
n#03649909	segadora
n#13259359	ingressos_personals
n#08846324	capital_d'Àustria Viena
n#11345017	Alice_B._Toklas
n#02661317	genus_paralichthys paralichthys
n#08589351	isòbara
n#13848149	tretzè
n#07292694	resultat
n#02736511	camp
n#02730265	aplicador
n#10473562	príncep_consort
a#01730329	últim
n#04877530	lleialtat
n#02906734	escombra
n#05755883	estudi
n#10200781	persona_amb_influències persona_important personatge pròcer prohom
a#01593079	comú ordinari plebeu vulgar
n#06122445	fisiografia
v#01914947	córrer
n#06580866	programa_rastrejador
n#10959664	Jacob_Epstein
n#13431992	angiogènesi
n#02135486	genus_viverra viverra
v#00264705	desinflar-se desinflar
n#10625546	soprano tiple
n#01979395	genus_ovalipes ovalipes
n#13452614	convecció
n#00259544	retribució
n#02667478	abadia
n#01621714	estrígids
n#02919976	borrell
a#00441365	tanoca ximplet
n#04224155	sifó
a#02576795	herbaci
v#02165543	escorcollar inspeccionar perquirir
a#00131018	frontal
n#06791372	senyal signe
a#02188431	21 vint-i-u vint-i-un XXI
n#00589691	califat
n#02991302	calabós
n#01949085	pegellida
n#06467007	extracte resum síntesi sumari
n#06269785	reimpressió
n#08220620	vol
n#10955282	Alfred_Eisenstaedt
n#07186828	imploració prec
a#00078942	algofòbic
n#02665543	tòrax
n#04838727	presumptuositat
n#12547658	genus_macrotyloma macrotyloma
n#06168703	dialectologia
n#01890033	genus_parascalops parascalops
n#10170989	hemofílic
n#01494339	genus_sphyrna sphyrna
n#02393807	tapir_americà
n#03444601	Golden_Gate
n#11003276	Lady_Godiva
v#00489699	justificar
a#00453308	íntim
n#04715947	adequació
n#03306207	exportació
n#15231964	edat_de_pedra Edat_de_Pedra
n#00802111	ajuda_pròpia
n#07849912	quallada quall
n#09876892	germà
n#12112488	buchloe genus_buchloe
n#04186624	gralla
n#08469457	naturalisme
n#09176342	Illàscar Làscar
n#13427789	absorció
n#13687015	unitat_monetària_turca
n#09280995	estel_fix
v#00055010	ejacular
n#10954498	Albert_Einstein Einstein
n#04294879	cavallerissa estable quadra
n#12712488	dictamnus genus_dictamnus
n#10473917	Príncep_de_Gal·les
n#14239918	càncer
n#08057460	corretatge
n#05344848	artèria_etmoïdal
n#05557723	sotaventre
v#02704349	mesurar
n#01443243	cabot gobi gòbit
n#07059962	música_pop pop
n#02184270	genus_pediculus pediculus
n#10604634	escèptic incrèdul
n#01832684	chateura genus_chateura
n#03908831	penjoll
v#01570108	establir instal·lar
n#10930778	Deng_Xiaoping
n#11484861	raig_de_lluna
v#02135048	sonar
n#14904661	halogen
n#10142537	inquisidor_general gran_inquisidor
n#08512259	frontera límit
n#03210940	exhibició presentació
n#10013114	gamarús sabata sòmines
n#00353992	devaluació
n#00547454	xiular
n#07115914	consonant_oclusiva oclusiva
n#03210683	dosificador
v#02467516	falsificar_les_eleccions
n#01139000	sanció
n#09338712	Lhotse
v#00074558	restrènyer
n#11701492	chimonanthus genus_chimonanthus
v#01919898	apinyar-se
n#08047747	Creu_Roja
n#14934031	llevat
n#10020890	doctor facultatiu metge
n#00656524	primers_auxilis
a#00269364	policristal·lí
n#11781430	aglaonema genus_aglaonema
n#07674393	oli_de_cotó
n#00147454	agregació annexió
a#00027833	acceptat admès confessat
v#02475401	armar
n#05977135	subjectivisme
n#12148962	genus_phyllostachys phyllostachys
n#08960099	capital_de_Líbia Trípoli
n#14932943	peridotita
n#10123844	general
n#09721244	luxemburguès
n#09189411	Àfrica
n#01890411	chrysochloris genus_chrysochloris
n#07900825	porto
n#09121936	Bowery
n#06622993	correu_aeri
n#00595333	alcaldia
n#01894803	genus_potamogale
v#00203213	abusar pervertir
a#00028181	declarable
n#13870414	geodèsica
n#01019901	reproducció
n#01902274	gropa
n#01967812	genus_pholas pholas
v#02518161	captenir-se conduir-se portar-se
n#13884740	paral·lelepípede
n#01810132	tinàmids
n#03020034	microxip xip
n#00444937	immersió_lleugera
n#02334337	conilurus genus_conilurus
a#02306874	atrevit picant
n#07778224	anfós nero
n#06862202	espai
n#05009170	propietat_física
n#02203008	quironòmids
a#00478590	incòmode
n#11850136	genus_melocactus melocactus
n#06064345	terapèutica
v#01668421	il·lustrar
a#01493016	immadur infantil
n#02322712	llet
a#01303449	contaminant
n#00570366	crol
n#07792027	lluç
v#00332835	partir subdividir
n#06872676	tenor
n#09375085	nucli
n#15092751	vitamina_K
n#04085017	marxa_enrere
v#01542525	entapissar
n#09137334	Rhode_Island
n#01860497	anhímid
n#11182966	Robert_Mitchum
n#12064183	genus_gymnadenia gymnadenia
n#12591897	genus_nipa genus_nypa nipa nypa
n#12529730	genus_gastrolobium
n#02926591	polissó polisson
n#14580897	matèria material
n#05508403	plexe_pulmonar
n#05526713	pixa polla titola
n#00723241	catcher
n#14744841	fitohormona
n#10086821	mariscal_de_camp
n#00986663	contrasubversió
n#13988663	dissort infelicitat
n#11109563	Alfred_Korzybski
n#04132603	shamisen
n#02977330	caixmir
n#07962628	munt_de_ferralla
n#00395333	alliberació alliberament
n#06172789	lingüística
n#05560787	cama
v#02578510	celebrar
n#10947108	Bob_Dylan
v#01058426	gorgolar
n#04034641	antimalarina atebrina quinacrina
n#11180029	Henry_Miller
n#05336893	artèria_apendicular
n#02256882	genus_tibicen tibicen
v#02467662	dividir partir repartir separar
v#00027705	allargar estendre
n#13335635	valor_nominal
n#13694367	penic
n#10834543	John_Bardeen
n#14958254	napalm
n#01582220	garsa
n#05602835	galta
n#09505153	líder_espiritual
a#00326436	imprudent incaut
n#12436490	genus_aloe
n#02827606	cinturó
n#13440779	ebullició
n#04046400	màmiga_raglan
n#00607293	cistelleria
n#14064408	drogaddicció drogodependència toxicomania
n#02064338	balena_amb_gep
n#11552133	criptògama planta_criptògama
n#06508112	acta
n#01635964	genus_plethodon plethodon
a#00345494	inestable
v#01286913	embolicar
v#00481739	codificar
v#01846916	viatjar
n#01945143	cargol_sapenc
v#00836236	representar simbolitzar
n#00228181	decapitació
n#04956594	coloració color
v#00449426	buidar
n#06335832	patronímic patrònim
n#06427831	redacció
n#01586170	campylorhynchus genus_campylorhynchus genus_heleodytes heleodytes
n#05895588	autoengany
n#00695448	irrigació
a#00496422	enraonador enraonaire parlador parlaire xerraire
n#02127381	linx_àrtic
n#08737376	capital_de_Guatemala Guatemala Ciutat_de_Guatemala
a#01300370	conservador purità tradicional
v#01817755	desencantar desil·lusionar
a#00948384	exterior
n#03372933	fluxòmetre
n#03496296	clavecí clavicèmbal
a#01186913	diàfan fi lleuger translúcid transparent vaporós
n#12316300	genus_liquidambar
n#10002151	demòcrata
n#13695945	pula
n#02046939	somorgollaire_negre
a#02341266	superior
n#11130661	John_L._Lewis
a#00948670	intern
n#15194940	Nit_de_Reis
n#11361288	Giorgio_Vasari
n#14673325	cuprita
n#00785263	violació_de_domicili
n#05855125	quantitat
a#00021110	atent complaent servicial sol·lícit
n#13554984	processament_serial
n#05162807	incomoditat inconveniència molèstia
n#00589769	capitania
n#04395875	tasca taverna
n#15024997	hemo
n#80000797	computació_científica
n#02917163	cursa_de_braus toreig
a#00770480	directe
n#09336853	Lauràsia
n#14183522	penelló
n#02670382	accelerador
n#00427853	bany
n#07621388	nata_muntada
n#01565480	acrocephalus genus_acrocephalus
n#04000716	tribuna_de_la_premsa
n#07804323	arròs
n#02696569	algòmetre
n#06649223	pros
v#02619739	sobreviure
n#05222591	estria
a#01208044	elevat
a#00175719	subsònic
n#04504770	componedora
n#13569464	translocació
n#07041902	sextet
n#07090938	redundància
n#04828925	bondat humanitat
n#03822171	diari
n#05853636	atenció
n#04091693	cordam cordatge eixàrcia
n#08645847	sabana
v#02204242	monopolitzar
v#00642644	extrapolar interpolar
v#01791756	apartar desviar distraure distreure
n#06571724	Lynx
v#00898434	cabotejar
n#80000974	persona_física
n#06278136	àudio so
n#01088757	pensió_d'invalidesa
n#08963813	capital_de_Malàisia Kuala_Lumpur
n#02470238	simi
a#00429909	clar inconfusible
n#04857083	coratge valentia
n#03616979	gunats_de_cabritilla
a#00298767	cacofònic
n#06832356	ela
n#01486706	genus_ginglymostoma ginglymostoma
v#00224295	morir
n#07680932	panet
n#07227301	paraula_d'honor paraula
n#06785654	mots_encreuats
n#03796401	camió_de_mudances
n#09450553	Sun_River
n#07319103	èxit
n#09773169	aventurera
n#02343772	jerbu
n#10574538	secularista
n#06840890	logograma
n#08630985	regió
n#03396074	trast
v#00803325	autoritzar
n#07014320	arravatament efusió rampell ravata
n#13600822	mesura_de_capacitat unitat_de_volum
n#01909906	pòlip
n#10385159	ortopedista
n#02824058	gerra_de_cervesa xop
n#07063101	bepop bop
n#06683359	informatiu
n#11362885	Robert_Venturi
n#01286569	batalla_de_Marató Marató
n#11157580	Bob_Marley
n#01856748	chen subgenus_chen
n#04386283	Taj_Mahal
v#00188466	insertar
n#08247021	duo
v#00289840	engroguir-se engroguir esgrogueir-se groguejar
v#01377758	polvoritzar
a#00006777	absorbefaent
n#07850957	corfa_del_formatge
n#11446242	condensació
n#10639925	aficionada aficionat seguidora seguidor
n#00743348	malbaratament_de_diners
n#01141160	transmissió_de_poders
v#00690614	considerar veure
n#10059904	entomòleg
n#00520672	cabaret
n#11343040	Nikolaas_Tinbergen
n#00646187	anatomia
n#07827896	anet fonoll_pudent
a#00211092	barbamec imberbe mec
n#07724269	ensiam_iceberg
a#00437539	clement
v#01812720	envigorir inspirar vigoritzar
n#07517737	indignació
n#08942629	Ile-de-France
a#00624026	considerable important
n#15156187	ahir
n#11077927	Jane_Jacobs
n#08933770	Quai_d'Orsay
n#05302499	boca
n#00213903	dispensa exempció immunitat
n#08540903	ciutat
n#12432808	ceba
n#08716738	Cambotja
n#07822323	cardamom
n#14606482	àcid_glutàmic
n#07794744	truita_salmonada
n#13691154	unitat_monetària_nicaragüenca
n#04444749	puntera
a#01663916	alcista
n#00994449	foc_d'artilleria
a#00114454	forassenyat furibund furiós
n#13394907	bo_de_l'estat
a#00176838	desgraciat desventurat
n#14594456	acetil
n#11364419	Andreas_Vesalius
n#13908348	estria
n#07473441	victòria
n#03268645	colzera
n#07519040	encalçament turment
n#06018022	matemàtica_aplicada
a#00178811	acreditat autoritzat reconegut
n#02353709	genus_geomys geomys
n#04020617	cafè_de_carretera
n#12732009	àlber_blanc
n#02924554	cafetera trasto
v#02153709	buscar cercar escorcollar mirar perquirir
n#14092577	discinèsia
a#01413871	improbable insegur
n#03988170	pal
n#11395466	Grant_Wood
n#09557387	Atenea Palas_Atenea
n#03254737	dulcimer
n#12950501	genus_valerianella valerianella
n#02779845	llast
n#14590795	solució_col·loïdal
n#01384687	paràsit
a#01853934	altern alternatiu
v#00312380	bronzejar-se enfosquir-se enfosquir obscurir-se obscurir
n#04545305	carrutxes
n#07879450	sushi
n#01944390	cargol
n#01879217	thylogale
n#08593130	límit
n#12862312	genus_plectranthus
n#06827503	lletra_rodona rodona
n#01432517	peixos gènere_de_peixos
n#05037813	bravesa bravura fúria violència
n#12313735	genus_hamamelidanthum hamamelidanthum
n#00399717	transfiguració
n#01877407	genus_macropus macropus
a#00151530	afàsic
v#01928390	fer_footing fer_jogging
n#01785532	genus_scutigera scutigera
n#00454624	llançament
n#14743582	amoníac
n#14686352	petroli
v#00020259	vetllar
n#04786490	simplicitat
n#07628870	pastís pa_de_pessic coca
v#00482180	concordar congeniar harmonitzar
n#02439033	girafa
n#05241827	cèl·lula_epitelial cèl·lula_epitèlica
v#01328012	caçar capturar
v#02162947	brillar centellejar espurnejar fulgurar llampurnar relluir rutilar
v#00610374	reconèixer
n#07414222	ascens augment pujada
n#06523641	assegurança pòlissa_d'assegurances pòlissa
n#10508475	immovilista reaccionari ultraconservador ultradretà
n#10352782	neoliberal
n#05788713	eclecticisme
n#06979014	dravídic llengua_dravídica
a#00266634	coratjós valerós
v#02713372	excel·lir sobresortir
n#08455271	dret_militar
n#01128390	dominació
n#06833004	r
n#14393438	histèria
n#01696026	genus_saurosuchus saurosuchus
v#02665937	assemblar-se sortir_com
n#06417598	llibre_de_referència obra_de_consulta
n#10506417	ranxer
n#12633386	genus_malus malus
a#00091764	alerta atent vigilant
n#11017454	Hugo_Grotius
v#01931566	navegar
n#03557692	glaçonera
n#05275162	hioide
v#01256600	tallar trinxar
a#01780343	intel·lectual mental racional
n#02720725	antihistamínic
n#03096960	controlador
n#15086088	valina
n#11382930	Phillis_Wheatley
n#11117744	Ring_Lardner
n#00797361	marató
n#00622584	caça cacera
n#11004731	William_Golding
n#06764623	postdata
n#00448958	patinatge patinatge_sobre_rodes
n#13711663	mil·libar
n#03329536	guasta virolla
n#10005934	diputada diputat
n#09961198	contralt
n#06865345	nota_musical nota to
v#01369346	descompondre fracturar-se rompre's trencar-se
n#09714694	iraquià
n#12126911	genus_panicum panicum
n#13417289	títol_exempt_dels_impostos
n#10622053	soldat
n#12998349	agaricals
n#06211078	enfocament
n#02452225	Donald_Duck
n#07116304	implosió
n#07783967	anguila
v#01603175	cobrir_amb_grava empedrar
n#06789801	ahimsa
n#10411356	escolàstic pedant
n#11251531	Sergei_Rachmaninoff
n#07564008	dieta_baixa_en_calories
n#02794008	barògraf
n#02003735	genus_jabiru
n#80000909	decret
a#01335156	brillant
v#00068627	fumejar
n#02205219	típula
a#00195684	esborronant horrible hòrrid horrífic horripilant horrorós macabre
a#00093433	apropiable
n#01069980	dejuni
n#10244359	fanaler
n#10078415	fantasiador fantasiaire
n#05601357	fesomia rostre semblant
n#06115701	geologia
n#14718017	electre
n#07222581	conte_de_fades
n#10630188	parlador parlant comunicant orador
n#10245236	mestressa propietària amo propietari
n#07205308	doble_negació
v#00521748	trombosi
v#00522068	arcaïtzar
n#13459322	mecanisme_de_defensa
n#01693783	camaleó
n#11008313	Al_Gore
v#02475922	anomenar nomenar
n#11082535	Johannes_Vilhelm_Jensen
n#06281848	modulació_de_fase
v#00507143	gelificar
n#00773235	comissió consumació perpetració
a#00308720	desatès
n#10531948	director_de_circ
n#10193650	caçadora
n#02596592	genus_micropogonias micropogonias
n#14210564	priapisme
v#00958174	imitar repetir
a#00965606	familiar
n#04634540	entusiasme eufòria exaltació
v#01370561	potejar potollar
n#13951215	classe_baixa
v#02485322	abrusar-se
a#00266420	covard pusil·lànime
n#14615971	àcid_múcic
n#01798052	genus_pedioecetes pedioecetes
n#02140357	genus_nyctimene nyctimene
n#01714686	genus_herrerasaurus
n#02836766	Big_Ben
v#02671761	quedar-se_curt decebre
n#10699262	terrícola
v#00279075	seriar
n#15272571	mitja_part
n#10919278	Georges_Cuvier
n#04262969	banda_sonora
n#05268797	teixit_intersticial
n#07608866	praliné
n#03067912	collage muntatge
a#01903965	purasang
n#11101986	Johannes_Kepler
n#13998781	limitació restricció
a#02864165	monumental
n#09144117	El_Paso
